,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,correct_labels,predicted_labels
0,-117.24,32.79,20.0,961.0,278.0,525.0,254.0,3.1838,NEAR OCEAN,24.58,22.984035820810742
1,-121.29,38.01,2.0,6403.0,1116.0,3327.0,957.0,4.4871,INLAND,13.79,14.420374421350857
2,-118.14,33.92,31.0,3731.0,853.0,2313.0,801.0,3.2237,<1H OCEAN,21.82,20.223721195202803
3,-122.07,37.94,30.0,1260.0,276.0,707.0,221.0,2.892,NEAR BAY,22.08,16.741509961766862
4,-121.89,37.99,4.0,2171.0,597.0,928.0,461.0,4.1016,INLAND,17.05,21.5788131033379
5,-121.25,37.97,41.0,855.0,189.0,716.0,206.0,2.0375,INLAND,7.5,6.868502947191029
6,-121.98,37.27,25.0,3075.0,564.0,1633.0,543.0,5.2528,<1H OCEAN,26.94,27.843429573585585
7,-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,<1H OCEAN,22.89,24.870475198444076
8,-122.1,37.39,35.0,2471.0,349.0,881.0,342.0,7.6229,NEAR BAY,50.0001,39.295814495477764
9,-122.39,40.53,28.0,1427.0,304.0,692.0,285.0,2.125,INLAND,8.08,6.617441858257225
10,-120.06,39.15,22.0,2213.0,372.0,98.0,42.0,1.1912,INLAND,17.0,19.542060834765802
11,-117.27,34.13,36.0,3337.0,687.0,2388.0,589.0,2.9628,INLAND,8.780000000000001,10.048097484120683
12,-117.85,33.9,25.0,1548.0,256.0,811.0,263.0,5.2037,<1H OCEAN,24.22,24.06205447773046
13,-122.01,37.98,25.0,1476.0,336.0,777.0,297.0,3.5179,NEAR BAY,16.55,20.04232941720469
14,-120.39,37.96,10.0,2554.0,501.0,922.0,439.0,2.1094,INLAND,16.4,8.860610129045881
15,-117.19,32.77,30.0,2747.0,640.0,3185.0,657.0,3.765,NEAR OCEAN,23.8,17.641010763986742
16,-118.33,33.88,36.0,1271.0,346.0,811.0,345.0,3.2417,<1H OCEAN,28.33,23.22793604702752
17,-118.1,33.79,36.0,3359.0,596.0,1522.0,565.0,5.1805,<1H OCEAN,24.94,28.831757153807906
18,-120.61,35.1,17.0,2799.0,637.0,2015.0,592.0,3.0536,<1H OCEAN,14.36,20.063094439089
19,-122.43,37.74,52.0,2637.0,539.0,1159.0,497.0,3.8846,NEAR BAY,33.31,27.78041337790881
20,-118.07,33.99,35.0,1625.0,302.0,1134.0,288.0,4.5595,<1H OCEAN,16.49,21.328994409061536
21,-121.28,38.66,17.0,7741.0,1401.0,3153.0,1331.0,3.7869,INLAND,21.61,15.775894024506362
22,-118.0,33.89,35.0,1011.0,183.0,578.0,171.0,3.9861,<1H OCEAN,18.87,20.515882082936294
23,-120.07,36.98,12.0,1790.0,379.0,1399.0,397.0,2.5388,INLAND,5.960000000000001,5.389650182233325
24,-120.69,35.52,26.0,2758.0,571.0,1291.0,522.0,2.925,<1H OCEAN,18.14,22.747819510466975
25,-122.4,37.62,44.0,1619.0,362.0,1064.0,335.0,4.0238,NEAR OCEAN,22.42,24.748163722016166
26,-118.49,34.22,30.0,1756.0,314.0,899.0,288.0,5.0325,<1H OCEAN,23.82,25.67495287695332
27,-118.32,33.9,36.0,1741.0,412.0,1245.0,423.0,4.1344,<1H OCEAN,21.03,23.687173588033055
28,-122.4,37.68,36.0,3595.0,815.0,1649.0,755.0,3.3816,NEAR BAY,25.34,25.408429905837462
29,-116.95,33.75,19.0,2238.0,573.0,1190.0,507.0,2.0714,INLAND,8.58,10.378619932343137
30,-117.21,34.12,32.0,1677.0,354.0,1021.0,339.0,3.6853,INLAND,9.09,13.959254927966926
31,-118.2,33.77,40.0,2034.0,899.0,1257.0,797.0,1.2864,NEAR OCEAN,13.13,25.006730822127356
32,-117.19,33.18,7.0,3561.0,722.0,1921.0,657.0,4.1128,<1H OCEAN,20.97,20.013472377746353
33,-118.32,33.8,39.0,1415.0,298.0,729.0,278.0,3.1648,<1H OCEAN,24.48,21.916448737562156
34,-117.21,32.81,27.0,1318.0,216.0,495.0,191.0,5.2837,NEAR OCEAN,28.38,28.921405877763533
35,-121.85,37.72,43.0,228.0,40.0,83.0,42.0,10.3203,INLAND,40.0,49.078610424686744
36,-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,NEAR OCEAN,50.0001,50.0001
37,-121.63,39.15,27.0,2991.0,637.0,1419.0,606.0,1.8849,INLAND,7.35,8.173567390114387
38,-117.14,32.8,35.0,1267.0,212.0,710.0,204.0,2.5368,NEAR OCEAN,16.96,14.672054059608595
39,-117.7,33.48,6.0,16590.0,2696.0,6223.0,2357.0,6.3088,<1H OCEAN,34.03,32.50417105917609
